poi_id,lon,lat,category
node/357825710,127.063564,37.483553,transit
node/357825746,127.0579408,37.5191874,transit
node/357825760,127.06424,37.49277,transit
node/357825777,127.0570436,37.5621135,transit
node/357825783,127.03948,37.57348,transit
node/357825785,127.0656637,37.5713246,transit
node/357825787,127.06386,37.56886,transit
node/357825800,127.06845,37.58828,transit
node/357825835,127.06779,37.59906,transit
node/357825923,127.0359436,37.5632955,transit
node/357825935,127.0339979,37.5562711,transit
node/357825951,127.0377829,37.5230081,transit
node/357825988,127.02218,37.5173638,transit
node/357826011,127.029385,37.493517,transit
node/357826014,127.0261424,37.4932174,transit
node/357826020,127.0252199,37.4950773,transit
node/357826039,127.0259778,37.5186582,transit
node/357826041,127.0308205,37.5202978,transit
node/357826049,127.0365866,37.5290432,transit
node/357826130,127.06822,37.58843,transit
node/357826141,127.0365353,37.5661214,transit
node/357826149,127.052478,37.5672024,transit
node/357826151,127.06417,37.56973,transit
node/357826153,127.06156,37.56632,transit
node/357826194,127.02535,37.57964,transit
node/357826341,127.07977,37.58061,transit
node/357826344,127.08011,37.57455,transit
node/357826352,127.08028,37.59181,transit
node/357826356,127.0799736,37.5872522,transit
node/357826358,127.0800371,37.5855069,transit
node/357826369,127.07516,37.56151,transit
node/357826371,127.0710903,37.5544986,transit
node/357826381,127.054803,37.506043,transit
node/357826398,127.0240724,37.4976127,transit
node/357826413,127.0386328,37.5015409,transit
node/357826415,127.026604,37.4977839,transit
node/357826419,127.0554269,37.5066831,transit
node/357826426,127.0562618,37.5208528,transit
node/357826434,127.06339,37.54148,transit
node/357826444,127.071238,37.5551642,transit
node/357826446,127.06934,37.55192,transit
node/357826450,127.0799347,37.5735329,transit
node/357826451,127.0795902,37.5701953,transit
node/357826453,127.07485,37.56176,transit
node/357826456,127.0798389,37.5871801,transit
node/357826458,127.07961,37.58505,transit
node/357826459,127.0795067,37.5802678,transit
node/357826467,127.0800519,37.5916308,transit
node/357826607,127.0342514,37.5992021,transit
node/357826611,127.03661,37.58872,transit
node/357826613,127.03829,37.58557,transit
node/357826685,127.0122029,37.5529851,transit
node/357826698,127.0132477,37.5591762,transit
node/357826726,127.0398633,37.4949426,transit
node/357826733,127.0512977,37.4992545,transit
node/357826759,127.0287298,37.5185312,transit
node/357826760,127.0284969,37.5235045,transit
node/357826764,127.0385754,37.4977185,transit
node/357826766,127.0368321,37.5014045,transit
node/357826768,127.0346209,37.50609,transit
node/357826770,127.0335055,37.5084783,transit
node/357826772,127.0120312,37.5529863,transit
node/357826776,127.028258,37.5261538,transit
node/357826786,127.0131091,37.559203,transit
node/357826790,127.034486,37.5055323,transit
node/357826792,127.0333697,37.5079917,transit
node/357826794,127.0379751,37.4981539,transit
node/357826796,127.0362961,37.501657,transit
node/357826798,127.0285839,37.518403,transit
node/357826978,126.9912744,37.5662084,transit
node/357826992,126.9631848,37.524306,transit
node/357827013,127.0041236,37.5003496,transit
node/357827023,126.9914002,37.5248269,transit
node/357827345,126.9050121,37.487184,transit
node/357827376,126.9892244,37.4868461,transit
node/357827378,126.987153,37.490238,transit
node/357827380,126.9930505,37.48091,transit
node/357827391,126.9942888,37.4869076,transit
node/357827394,126.9904449,37.4931143,transit
node/357827410,127.0337014,37.5297689,transit
node/357827419,127.0258867,37.5188992,transit
node/357827438,127.03671,37.58937,transit
node/357827473,127.0341408,37.5299198,transit
node/357827477,127.0287139,37.5260014,transit
node/357827479,127.0342208,37.5576455,transit
node/357827580,126.9683107,37.5212974,transit
node/357827596,126.9909481,37.5226137,transit
node/357827598,126.9908893,37.5211711,transit
node/357827600,126.9892332,37.5200013,transit
node/357827601,126.9854273,37.5173774,transit
node/357827603,126.9811234,37.5177043,transit
node/357827704,126.99034,37.56633,transit
node/357827728,127.02076,37.58237,transit
node/357827738,126.9471781,37.5134157,transit
node/357827743,126.9399916,37.5083565,transit
node/357827745,126.9384927,37.504594,transit
node/357827751,126.9279279,37.497789,transit
node/357827770,126.9207949,37.4528457,transit
node/357827807,126.9337088,37.4732403,transit
node/357827809,126.9374659,37.4762439,transit
node/357827813,126.9337724,37.4710566,transit
node/357827823,126.9298516,37.4585828,transit
node/357827864,126.9281115,37.498263,transit
node/357827872,127.021055,37.5823818,transit
node/357827876,127.00084,37.56659,transit
node/357827885,126.9853515,37.5659976,transit
node/357827904,126.9044812,37.486543,transit
node/357828122,126.9883825,37.5774548,transit
node/357828130,127.0014217,37.5839288,transit
node/357828157,126.9822156,37.5644428,transit
node/357828162,126.96327,37.50831,transit
node/357828164,126.9612686,37.5080182,transit
node/357828206,126.9736646,37.535214,transit
node/357828217,127.0081455,37.5893489,transit
node/357828316,126.9756847,37.570323,transit
node/357828447,126.998913,37.5708156,transit
node/357828462,126.95706,37.55406,transit
node/357828464,126.9968429,37.5705027,transit
node/357828564,126.94703,37.5928,transit
node/357828665,127.0172205,37.5885011,transit
node/357828712,126.9490942,37.5960545,transit
node/357828737,126.9372772,37.553511,transit
node/357828782,126.92321,37.50683,transit
node/357828784,126.9316787,37.5211538,transit
node/357828788,126.9271418,37.5236023,transit
